lei,fxo_id,period_end,country,package_url,full_url
81560054B48979390098,81560054B48979390098-2023-12-31-ESEF-IT-0,2023-12-31,IT,/81560054B48979390098/2023-12-31/ESEF/IT/0/81560054B48979390098-2023-12-31-it.zip,https://filings.xbrl.org/81560054B48979390098/2023-12-31/ESEF/IT/0/81560054B48979390098-2023-12-31-it.zip
815600CF5C54AA9C0721,815600CF5C54AA9C0721-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600CF5C54AA9C0721/2023-12-31/ESEF/IT/0/815600CF5C54AA9C0721-2023-12-31-it.zip,https://filings.xbrl.org/815600CF5C54AA9C0721/2023-12-31/ESEF/IT/0/815600CF5C54AA9C0721-2023-12-31-it.zip
815600E546497667D288,815600E546497667D288-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600E546497667D288/2023-12-31/ESEF/IT/0/815600E546497667D288-2023-12-31.zip,https://filings.xbrl.org/815600E546497667D288/2023-12-31/ESEF/IT/0/815600E546497667D288-2023-12-31.zip
815600DFC29A91FF0C71,815600DFC29A91FF0C71-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600DFC29A91FF0C71/2023-12-31/ESEF/IT/0/815600DFC29A91FF0C71-2023-12-31IT.zip,https://filings.xbrl.org/815600DFC29A91FF0C71/2023-12-31/ESEF/IT/0/815600DFC29A91FF0C71-2023-12-31IT.zip
8156009111DEE8553765,8156009111DEE8553765-2023-12-31-ESEF-IT-0,2023-12-31,IT,/8156009111DEE8553765/2023-12-31/ESEF/IT/0/8156009111DEE8553765-2023-12-31-it.zip,https://filings.xbrl.org/8156009111DEE8553765/2023-12-31/ESEF/IT/0/8156009111DEE8553765-2023-12-31-it.zip
815600EE49F8DB9B8491,815600EE49F8DB9B8491-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600EE49F8DB9B8491/2023-12-31/ESEF/IT/0/815600EE49F8DB9B8491-2023-12-31-it.zip,https://filings.xbrl.org/815600EE49F8DB9B8491/2023-12-31/ESEF/IT/0/815600EE49F8DB9B8491-2023-12-31-it.zip
8156007367A2044B7685,8156007367A2044B7685-2023-12-31-ESEF-IT-0,2023-12-31,IT,/8156007367A2044B7685/2023-12-31/ESEF/IT/0/8156007367A2044B7685-2023-12-31-it.zip,https://filings.xbrl.org/8156007367A2044B7685/2023-12-31/ESEF/IT/0/8156007367A2044B7685-2023-12-31-it.zip
8156005E235E751B6662,8156005E235E751B6662-2023-12-31-ESEF-IT-0,2023-12-31,IT,/8156005E235E751B6662/2023-12-31/ESEF/IT/0/8156005E235E751B6662-2023-12-31-it.zip,https://filings.xbrl.org/8156005E235E751B6662/2023-12-31/ESEF/IT/0/8156005E235E751B6662-2023-12-31-it.zip
815600FBF92FD3531704,815600FBF92FD3531704-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600FBF92FD3531704/2023-12-31/ESEF/IT/0/815600FBF92FD3531704-2023-12-31-en.zip,https://filings.xbrl.org/815600FBF92FD3531704/2023-12-31/ESEF/IT/0/815600FBF92FD3531704-2023-12-31-en.zip
815600F231566A38BC43,815600F231566A38BC43-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600F231566A38BC43/2023-12-31/ESEF/IT/0/815600F231566A38BC43-2023-12-31-it.zip,https://filings.xbrl.org/815600F231566A38BC43/2023-12-31/ESEF/IT/0/815600F231566A38BC43-2023-12-31-it.zip
8156009C6B018FE67A34,8156009C6B018FE67A34-2023-12-31-ESEF-IT-0,2023-12-31,IT,/8156009C6B018FE67A34/2023-12-31/ESEF/IT/0/8156009C6B018FE67A34-2023-12-31-it.zip,https://filings.xbrl.org/8156009C6B018FE67A34/2023-12-31/ESEF/IT/0/8156009C6B018FE67A34-2023-12-31-it.zip
81560026FA1A26642782,81560026FA1A26642782-2023-12-31-ESEF-IT-1,2023-12-31,IT,/81560026FA1A26642782/2023-12-31/ESEF/IT/1/81560026FA1A26642782-2023-12-31-it.zip,https://filings.xbrl.org/81560026FA1A26642782/2023-12-31/ESEF/IT/1/81560026FA1A26642782-2023-12-31-it.zip
81560066183FE361C071,81560066183FE361C071-2023-12-31-ESEF-IT-0,2023-12-31,IT,/81560066183FE361C071/2023-12-31/ESEF/IT/0/81560066183FE361C071-2023-12-31-it.zip,https://filings.xbrl.org/81560066183FE361C071/2023-12-31/ESEF/IT/0/81560066183FE361C071-2023-12-31-it.zip
549300BLWVJN2BAT0A44,549300BLWVJN2BAT0A44-2023-12-31-ESEF-IT-1,2023-12-31,IT,/549300BLWVJN2BAT0A44/2023-12-31/ESEF/IT/1/549300BLWVJN2BAT0A44-2023-12-31-it.zip,https://filings.xbrl.org/549300BLWVJN2BAT0A44/2023-12-31/ESEF/IT/1/549300BLWVJN2BAT0A44-2023-12-31-it.zip
8156000BA1E707067579,8156000BA1E707067579-2023-12-31-ESEF-IT-0,2023-12-31,IT,/8156000BA1E707067579/2023-12-31/ESEF/IT/0/8156000BA1E707067579-2023-12-31-it.zip,https://filings.xbrl.org/8156000BA1E707067579/2023-12-31/ESEF/IT/0/8156000BA1E707067579-2023-12-31-it.zip
8156007154CD8334D053,8156007154CD8334D053-2023-12-31-ESEF-IT-0,2023-12-31,IT,/8156007154CD8334D053/2023-12-31/ESEF/IT/0/8156007154CD8334D053-2023-12-31.zip,https://filings.xbrl.org/8156007154CD8334D053/2023-12-31/ESEF/IT/0/8156007154CD8334D053-2023-12-31.zip
8156007AF7DB5FE05555,8156007AF7DB5FE05555-2023-12-31-ESEF-IT-0,2023-12-31,IT,/8156007AF7DB5FE05555/2023-12-31/ESEF/IT/0/8156007AF7DB5FE05555-2023-12-31-en.zip,https://filings.xbrl.org/8156007AF7DB5FE05555/2023-12-31/ESEF/IT/0/8156007AF7DB5FE05555-2023-12-31-en.zip
81560096E0DA76818C96,81560096E0DA76818C96-2023-12-31-ESEF-IT-0,2023-12-31,IT,/81560096E0DA76818C96/2023-12-31/ESEF/IT/0/81560096E0DA76818C96-2023-12-31-it.zip,https://filings.xbrl.org/81560096E0DA76818C96/2023-12-31/ESEF/IT/0/81560096E0DA76818C96-2023-12-31-it.zip
8156004E40D6A02C5046,8156004E40D6A02C5046-2023-12-31-ESEF-IT-1,2023-12-31,IT,/8156004E40D6A02C5046/2023-12-31/ESEF/IT/1/8156004E40D6A02C5046-2023-12-31.zip,https://filings.xbrl.org/8156004E40D6A02C5046/2023-12-31/ESEF/IT/1/8156004E40D6A02C5046-2023-12-31.zip
5493003CX2RZ0FOBH256,5493003CX2RZ0FOBH256-2023-12-31-ESEF-IT-0,2023-12-31,IT,/5493003CX2RZ0FOBH256/2023-12-31/ESEF/IT/0/5493003CX2RZ0FOBH256-2023-12-31.zip,https://filings.xbrl.org/5493003CX2RZ0FOBH256/2023-12-31/ESEF/IT/0/5493003CX2RZ0FOBH256-2023-12-31.zip
815600A9C09D82FF2B66,815600A9C09D82FF2B66-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600A9C09D82FF2B66/2023-12-31/ESEF/IT/0/815600A9C09D82FF2B66-2023-12-31-it.zip,https://filings.xbrl.org/815600A9C09D82FF2B66/2023-12-31/ESEF/IT/0/815600A9C09D82FF2B66-2023-12-31-it.zip
815600DB65870B3F2A12,815600DB65870B3F2A12-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600DB65870B3F2A12/2023-12-31/ESEF/IT/0/815600DB65870B3F2A12-2023-12-31.zip,https://filings.xbrl.org/815600DB65870B3F2A12/2023-12-31/ESEF/IT/0/815600DB65870B3F2A12-2023-12-31.zip
815600D3D12A6EAC9004,815600D3D12A6EAC9004-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600D3D12A6EAC9004/2023-12-31/ESEF/IT/0/815600D3D12A6EAC9004-2023-12-31-it.zip,https://filings.xbrl.org/815600D3D12A6EAC9004/2023-12-31/ESEF/IT/0/815600D3D12A6EAC9004-2023-12-31-it.zip
81560090173FFC67B069,81560090173FFC67B069-2023-12-31-ESEF-IT-0,2023-12-31,IT,/81560090173FFC67B069/2023-12-31/ESEF/IT/0/81560090173FFC67B069-2023-12-31-it.zip,https://filings.xbrl.org/81560090173FFC67B069/2023-12-31/ESEF/IT/0/81560090173FFC67B069-2023-12-31-it.zip
815600DC9FA897709242,815600DC9FA897709242-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600DC9FA897709242/2023-12-31/ESEF/IT/0/815600DC9FA897709242-2023-12-31-it.zip,https://filings.xbrl.org/815600DC9FA897709242/2023-12-31/ESEF/IT/0/815600DC9FA897709242-2023-12-31-it.zip
8156005CE5E7340CCA86,8156005CE5E7340CCA86-2023-12-31-ESEF-IT-0,2023-12-31,IT,/8156005CE5E7340CCA86/2023-12-31/ESEF/IT/0/8156005CE5E7340CCA86-2023-12-31-en.zip,https://filings.xbrl.org/8156005CE5E7340CCA86/2023-12-31/ESEF/IT/0/8156005CE5E7340CCA86-2023-12-31-en.zip
815600E31C4E7006AB54,815600E31C4E7006AB54-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600E31C4E7006AB54/2023-12-31/ESEF/IT/0/815600E31C4E7006AB54_2023-12-31-en.zip,https://filings.xbrl.org/815600E31C4E7006AB54/2023-12-31/ESEF/IT/0/815600E31C4E7006AB54_2023-12-31-en.zip
8156005CE5E7340CCA86,8156005CE5E7340CCA86-2023-12-31-ESEF-IT-1,2023-12-31,IT,/8156005CE5E7340CCA86/2023-12-31/ESEF/IT/1/8156005CE5E7340CCA86-2023-12-31-it.zip,https://filings.xbrl.org/8156005CE5E7340CCA86/2023-12-31/ESEF/IT/1/8156005CE5E7340CCA86-2023-12-31-it.zip
8156007E3375956ADD08,8156007E3375956ADD08-2023-12-31-ESEF-IT-0,2023-12-31,IT,/8156007E3375956ADD08/2023-12-31/ESEF/IT/0/8156007E3375956ADD08-2023-12-31.zip,https://filings.xbrl.org/8156007E3375956ADD08/2023-12-31/ESEF/IT/0/8156007E3375956ADD08-2023-12-31.zip
